"year";"vars";"values";"var_names"
2012;"alt_4";68,469837573226;"Vaihtoehtoiset"
2013;"alt_4";72,1829269727793;"Vaihtoehtoiset"
2014;"alt_4";68,9696195047005;"Vaihtoehtoiset"
2015;"alt_4";68,6097590757207;"Vaihtoehtoiset"
2016;"alt_4";71,5465762529623;"Vaihtoehtoiset"
2017;"alt_4";75,6101408207576;"Vaihtoehtoiset"
2018;"alt_4";67,4549551322908;"Vaihtoehtoiset"
2019;"alt_4";67,8510860126884;"Vaihtoehtoiset"
2020;"alt_4";67,8968187695251;"Vaihtoehtoiset"
2000;"alt_5";102,702708678511;"Vaihtoehtoiset"
2001;"alt_5";100,300437929189;"Vaihtoehtoiset"
2002;"alt_5";99,190427568478;"Vaihtoehtoiset"
2003;"alt_5";99,1981223982895;"Vaihtoehtoiset"
2004;"alt_5";100,492477993482;"Vaihtoehtoiset"
2005;"alt_5";98,9565606879038;"Vaihtoehtoiset"
2006;"alt_5";98,9474591824087;"Vaihtoehtoiset"
2007;"alt_5";100;"Vaihtoehtoiset"
2008;"alt_5";98,242713147309;"Vaihtoehtoiset"
2009;"alt_5";86,6132308639517;"Vaihtoehtoiset"
2010;"alt_5";84,4458299426393;"Vaihtoehtoiset"
2011;"alt_5";79,5619772678201;"Vaihtoehtoiset"
2012;"alt_5";68,3299234627327;"Vaihtoehtoiset"
2013;"alt_5";72,0138776330661;"Vaihtoehtoiset"
2014;"alt_5";68,7127577028461;"Vaihtoehtoiset"
2015;"alt_5";68,3668437696506;"Vaihtoehtoiset"
2016;"alt_5";71,345252446933;"Vaihtoehtoiset"
2017;"alt_5";75,5379609299777;"Vaihtoehtoiset"
2018;"alt_5";67,2440218969804;"Vaihtoehtoiset"
2019;"alt_5";67,6622246135169;"Vaihtoehtoiset"
2020;"alt_5";67,7175589250186;"Vaihtoehtoiset"
2000;"alt_6";102,680065352738;"Vaihtoehtoiset"
2001;"alt_6";100,23192688879;"Vaihtoehtoiset"
2002;"alt_6";99,2176261296942;"Vaihtoehtoiset"
2003;"alt_6";99,2286220284904;"Vaihtoehtoiset"
2004;"alt_6";100,619182004536;"Vaihtoehtoiset"
2005;"alt_6";99,0245966117668;"Vaihtoehtoiset"
2006;"alt_6";98,9199457619267;"Vaihtoehtoiset"
2007;"alt_6";100;"Vaihtoehtoiset"
2008;"alt_6";98,1783771208368;"Vaihtoehtoiset"
2009;"alt_6";86,5819243135076;"Vaihtoehtoiset"
2010;"alt_6";84,6412610724851;"Vaihtoehtoiset"
2011;"alt_6";79,6318439371707;"Vaihtoehtoiset"
2012;"alt_6";68,4607031928519;"Vaihtoehtoiset"
2013;"alt_6";72,1722811471908;"Vaihtoehtoiset"
2014;"alt_6";68,9563015266518;"Vaihtoehtoiset"
2015;"alt_6";68,5985865387247;"Vaihtoehtoiset"
2016;"alt_6";71,5380321498344;"Vaihtoehtoiset"
2017;"alt_6";75,6082528349376;"Vaihtoehtoiset"
