"year";"vars";"values";"var_names"
2013;"alt_4";102,967511387441;"Vaihtoehtoiset"
2014;"alt_4";100,225641548159;"Vaihtoehtoiset"
2015;"alt_4";99,9036542541759;"Vaihtoehtoiset"
2016;"alt_4";101,645214990253;"Vaihtoehtoiset"
2017;"alt_4";103,837609040377;"Vaihtoehtoiset"
2018;"alt_4";100,603920022089;"Vaihtoehtoiset"
2019;"alt_4";98,8601462160122;"Vaihtoehtoiset"
2020;"alt_4";96,1543385024831;"Vaihtoehtoiset"
2000;"alt_5";99,5782877332956;"Vaihtoehtoiset"
2001;"alt_5";101,833850516223;"Vaihtoehtoiset"
2002;"alt_5";100,728915392983;"Vaihtoehtoiset"
2003;"alt_5";99,2218573397552;"Vaihtoehtoiset"
2004;"alt_5";99,9849636022907;"Vaihtoehtoiset"
2005;"alt_5";99,8529107535377;"Vaihtoehtoiset"
2006;"alt_5";97,6488006748176;"Vaihtoehtoiset"
2007;"alt_5";100;"Vaihtoehtoiset"
2008;"alt_5";102,979140029302;"Vaihtoehtoiset"
2009;"alt_5";99,1879194310355;"Vaihtoehtoiset"
2010;"alt_5";99,9537926943864;"Vaihtoehtoiset"
2011;"alt_5";103,525024069228;"Vaihtoehtoiset"
2012;"alt_5";105,052320064993;"Vaihtoehtoiset"
2013;"alt_5";102,779155285529;"Vaihtoehtoiset"
2014;"alt_5";100,146484452823;"Vaihtoehtoiset"
2015;"alt_5";99,7369171871765;"Vaihtoehtoiset"
2016;"alt_5";101,163952585367;"Vaihtoehtoiset"
2017;"alt_5";102,964306513767;"Vaihtoehtoiset"
2018;"alt_5";99,4708272318895;"Vaihtoehtoiset"
2019;"alt_5";97,5613825716467;"Vaihtoehtoiset"
2020;"alt_5";94,6330094556282;"Vaihtoehtoiset"
2000;"alt_6";99,5784455584929;"Vaihtoehtoiset"
2001;"alt_6";101,833395915635;"Vaihtoehtoiset"
2002;"alt_6";100,728857860256;"Vaihtoehtoiset"
2003;"alt_6";99,221676769332;"Vaihtoehtoiset"
2004;"alt_6";99,9853834726448;"Vaihtoehtoiset"
2005;"alt_6";99,8528194119006;"Vaihtoehtoiset"
2006;"alt_6";97,6484894930342;"Vaihtoehtoiset"
2007;"alt_6";100;"Vaihtoehtoiset"
2008;"alt_6";102,978668206075;"Vaihtoehtoiset"
2009;"alt_6";99,1879624638085;"Vaihtoehtoiset"
2010;"alt_6";99,9538112995573;"Vaihtoehtoiset"
2011;"alt_6";103,524578094476;"Vaihtoehtoiset"
2012;"alt_6";105,051645064765;"Vaihtoehtoiset"
2013;"alt_6";102,778436232685;"Vaihtoehtoiset"
2014;"alt_6";100,145831653697;"Vaihtoehtoiset"
2015;"alt_6";99,7358257061098;"Vaihtoehtoiset"
2016;"alt_6";101,162552119284;"Vaihtoehtoiset"
2017;"alt_6";102,96217674143;"Vaihtoehtoiset"
2018;"alt_6";99,468391092893;"Vaihtoehtoiset"
2019;"alt_6";97,5590273870388;"Vaihtoehtoiset"
2020;"alt_6";94,6314945046198;"Vaihtoehtoiset"
2000;"alt_7";99,5766521645768;"Vaihtoehtoiset"
2001;"alt_7";101,835237946263;"Vaihtoehtoiset"
2002;"alt_7";100,728776128809;"Vaihtoehtoiset"
2003;"alt_7";99,2216385967834;"Vaihtoehtoiset"
2004;"alt_7";99,9837155387275;"Vaihtoehtoiset"
2005;"alt_7";99,8527407785434;"Vaihtoehtoiset"
2006;"alt_7";97,6496802302622;"Vaihtoehtoiset"
2007;"alt_7";100;"Vaihtoehtoiset"
2008;"alt_7";102,979682840242;"Vaihtoehtoiset"
2009;"alt_7";99,1866656947758;"Vaihtoehtoiset"
2010;"alt_7";99,9533585752797;"Vaihtoehtoiset"
2011;"alt_7";103,52611436093;"Vaihtoehtoiset"
2012;"alt_7";105,053998845578;"Vaihtoehtoiset"
2013;"alt_7";102,780990965581;"Vaihtoehtoiset"
2014;"alt_7";100,147933415749;"Vaihtoehtoiset"
2015;"alt_7";99,7401554780982;"Vaihtoehtoiset"
2016;"alt_7";101,169171042806;"Vaihtoehtoiset"
2017;"alt_7";102,973372597102;"Vaihtoehtoiset"
2018;"alt_7";99,4825532515162;"Vaihtoehtoiset"
2019;"alt_7";97,5736310692096;"Vaihtoehtoiset"
2020;"alt_7";94,6434360271511;"Vaihtoehtoiset"
2000;"alt_8";99,5783846386404;"Vaihtoehtoiset"
2001;"alt_8";101,833423141012;"Vaihtoehtoiset"
2002;"alt_8";100,728895354671;"Vaihtoehtoiset"
2003;"alt_8";99,221681971959;"Vaihtoehtoiset"
2004;"alt_8";99,9853825033992;"Vaihtoehtoiset"
2005;"alt_8";99,8528349817973;"Vaihtoehtoiset"
2006;"alt_8";97,6485321410313;"Vaihtoehtoiset"
2007;"alt_8";100;"Vaihtoehtoiset"
2008;"alt_8";102,978687077934;"Vaihtoehtoiset"
2009;"alt_8";99,1879915453489;"Vaihtoehtoiset"
2010;"alt_8";99,953886170539;"Vaihtoehtoiset"
2011;"alt_8";103,524688479684;"Vaihtoehtoiset"
2012;"alt_8";105,051773933386;"Vaihtoehtoiset"
2013;"alt_8";102,778573519955;"Vaihtoehtoiset"
2014;"alt_8";100,145929666133;"Vaihtoehtoiset"
2015;"alt_8";99,7359832737247;"Vaihtoehtoiset"
2016;"alt_8";101,162782523478;"Vaihtoehtoiset"
2017;"alt_8";102,962559804282;"Vaihtoehtoiset"
2018;"alt_8";99,4688774176522;"Vaihtoehtoiset"
2019;"alt_8";97,5595655469686;"Vaihtoehtoiset"
2020;"alt_8";94,6319733385735;"Vaihtoehtoiset"
2000;"alt_9";99,1639625256332;"Vaihtoehtoiset"
2001;"alt_9";101,521937152835;"Vaihtoehtoiset"
2002;"alt_9";100,2188984987;"Vaihtoehtoiset"
2003;"alt_9";98,2906576903946;"Vaihtoehtoiset"
2004;"alt_9";101,85531957355;"Vaihtoehtoiset"
2005;"alt_9";99,4982854876245;"Vaihtoehtoiset"
2006;"alt_9";97,4545882499937;"Vaihtoehtoiset"
2007;"alt_9";100;"Vaihtoehtoiset"
2008;"alt_9";101,175366176954;"Vaihtoehtoiset"
2009;"alt_9";98,9750490710937;"Vaihtoehtoiset"
2010;"alt_9";100,749649859928;"Vaihtoehtoiset"
2011;"alt_9";103,882106289247;"Vaihtoehtoiset"
2012;"alt_9";105,359336082547;"Vaihtoehtoiset"
2013;"alt_9";103,049824884635;"Vaihtoehtoiset"
2014;"alt_9";99,9404798482864;"Vaihtoehtoiset"
2015;"alt_9";97,6765645179773;"Vaihtoehtoiset"
2016;"alt_9";100,021452790517;"Vaihtoehtoiset"
2017;"alt_9";101,734946017136;"Vaihtoehtoiset"
2018;"alt_9";100,255088658951;"Vaihtoehtoiset"
2019;"alt_9";99,7730368133649;"Vaihtoehtoiset"
2020;"alt_9";99,6187702462211;"Vaihtoehtoiset"
2000;"alt_10";99,5801341496301;"Vaihtoehtoiset"
2001;"alt_10";101,832886714632;"Vaihtoehtoiset"
2002;"alt_10";100,728997895592;"Vaihtoehtoiset"
2003;"alt_10";99,2219194923015;"Vaihtoehtoiset"
2004;"alt_10";99,9850423594353;"Vaihtoehtoiset"
2005;"alt_10";99,8531999869659;"Vaihtoehtoiset"
2006;"alt_10";97,6484333211571;"Vaihtoehtoiset"
2007;"alt_10";100;"Vaihtoehtoiset"
2008;"alt_10";102,97971953034;"Vaihtoehtoiset"
2009;"alt_10";99,1896064273101;"Vaihtoehtoiset"
2010;"alt_10";99,9547081662855;"Vaihtoehtoiset"
2011;"alt_10";103,525128205543;"Vaihtoehtoiset"
2012;"alt_10";105,051765456829;"Vaihtoehtoiset"
2013;"alt_10";102,778317923994;"Vaihtoehtoiset"
2014;"alt_10";100,146061076813;"Vaihtoehtoiset"
2015;"alt_10";99,7353288431285;"Vaihtoehtoiset"
2016;"alt_10";101,160855152347;"Vaihtoehtoiset"
2017;"alt_10";102,958220669449;"Vaihtoehtoiset"
2018;"alt_10";99,4621106324516;"Vaihtoehtoiset"
2019;"alt_10";97,5516765421678;"Vaihtoehtoiset"
2020;"alt_10";94,6237935123849;"Vaihtoehtoiset"
2000;"alt_11";99,5782450374118;"Vaihtoehtoiset"
2001;"alt_11";101,833452503675;"Vaihtoehtoiset"
2002;"alt_11";100,728945558988;"Vaihtoehtoiset"
2003;"alt_11";99,2217417722572;"Vaihtoehtoiset"
2004;"alt_11";99,9855197266043;"Vaihtoehtoiset"
2005;"alt_11";99,852839158632;"Vaihtoehtoiset"
2006;"alt_11";97,648533388902;"Vaihtoehtoiset"
2007;"alt_11";100;"Vaihtoehtoiset"
2008;"alt_11";102,97857556592;"Vaihtoehtoiset"
2009;"alt_11";99,1879177364836;"Vaihtoehtoiset"
2010;"alt_11";99,9538567745873;"Vaihtoehtoiset"
2011;"alt_11";103,524647932039;"Vaihtoehtoiset"
2012;"alt_11";105,051806947656;"Vaihtoehtoiset"
2013;"alt_11";102,778646396387;"Vaihtoehtoiset"
2014;"alt_11";100,145947176392;"Vaihtoehtoiset"
2015;"alt_11";99,7360261334194;"Vaihtoehtoiset"
2016;"alt_11";101,16287216256;"Vaihtoehtoiset"
2017;"alt_11";102,962782569112;"Vaihtoehtoiset"
2018;"alt_11";99,4692642386722;"Vaihtoehtoiset"
2019;"alt_11";97,5600794582719;"Vaihtoehtoiset"
2020;"alt_11";94,6325285908429;"Vaihtoehtoiset"
2000;"alt_12";99,5784077722202;"Vaihtoehtoiset"
2001;"alt_12";101,833362571267;"Vaihtoehtoiset"
2002;"alt_12";100,728838352957;"Vaihtoehtoiset"
2003;"alt_12";99,2215904414815;"Vaihtoehtoiset"
2004;"alt_12";99,9853991047875;"Vaihtoehtoiset"
2005;"alt_12";99,8527827369109;"Vaihtoehtoiset"
2006;"alt_12";97,6484661138098;"Vaihtoehtoiset"
2007;"alt_12";100;"Vaihtoehtoiset"
2008;"alt_12";102,978584138967;"Vaihtoehtoiset"
2009;"alt_12";99,1879098678264;"Vaihtoehtoiset"
2010;"alt_12";99,9538168363484;"Vaihtoehtoiset"
2011;"alt_12";103,524555036966;"Vaihtoehtoiset"
2012;"alt_12";105,051571005235;"Vaihtoehtoiset"
2013;"alt_12";102,778351319492;"Vaihtoehtoiset"
2014;"alt_12";100,145742137472;"Vaihtoehtoiset"
2015;"alt_12";99,7357367341925;"Vaihtoehtoiset"
2016;"alt_12";101,16252264045;"Vaihtoehtoiset"
2017;"alt_12";102,962207691493;"Vaihtoehtoiset"
2018;"alt_12";99,4685106466237;"Vaihtoehtoiset"
2019;"alt_12";97,5591955392211;"Vaihtoehtoiset"
2020;"alt_12";94,6317830536728;"Vaihtoehtoiset"
2000;"alt_13";99,5783910209201;"Vaihtoehtoiset"
2001;"alt_13";101,833412331459;"Vaihtoehtoiset"
2002;"alt_13";100,728887738229;"Vaihtoehtoiset"
2003;"alt_13";99,2217041822721;"Vaihtoehtoiset"
2004;"alt_13";99,985434152229;"Vaihtoehtoiset"
2005;"alt_13";99,8528275483457;"Vaihtoehtoiset"
2006;"alt_13";97,6484995081121;"Vaihtoehtoiset"
2007;"alt_13";100;"Vaihtoehtoiset"
2008;"alt_13";102,978636866779;"Vaihtoehtoiset"
2009;"alt_13";99,1879507500855;"Vaihtoehtoiset"
2010;"alt_13";99,9538214890491;"Vaihtoehtoiset"
2011;"alt_13";103,524590021111;"Vaihtoehtoiset"
2012;"alt_13";105,051686938676;"Vaihtoehtoiset"
2013;"alt_13";102,778493987084;"Vaihtoehtoiset"
2014;"alt_13";100,145861775061;"Vaihtoehtoiset"
2015;"alt_13";99,7358743892079;"Vaihtoehtoiset"
2016;"alt_13";101,162627043698;"Vaihtoehtoiset"
2017;"alt_13";102,962322056646;"Vaihtoehtoiset"
2018;"alt_13";99,4686069781652;"Vaihtoehtoiset"
2019;"alt_13";97,5592961019195;"Vaihtoehtoiset"
2020;"alt_13";94,6317627418804;"Vaihtoehtoiset"
2000;"alt_14";99,5797141187611;"Vaihtoehtoiset"
2001;"alt_14";101,83288526165;"Vaihtoehtoiset"
2002;"alt_14";100,728407988378;"Vaihtoehtoiset"
2003;"alt_14";99,2219567164635;"Vaihtoehtoiset"
2004;"alt_14";99,9850622619363;"Vaihtoehtoiset"
2005;"alt_14";99,8528905371742;"Vaihtoehtoiset"
2006;"alt_14";97,6480919333348;"Vaihtoehtoiset"
2007;"alt_14";100;"Vaihtoehtoiset"
2008;"alt_14";102,979257187414;"Vaihtoehtoiset"
2009;"alt_14";99,1884748611642;"Vaihtoehtoiset"
2010;"alt_14";99,953299334623;"Vaihtoehtoiset"
2011;"alt_14";103,523719348813;"Vaihtoehtoiset"
2012;"alt_14";105,050669707614;"Vaihtoehtoiset"
2013;"alt_14";102,777311414291;"Vaihtoehtoiset"
2014;"alt_14";100,145293588773;"Vaihtoehtoiset"
2015;"alt_14";99,7343849418815;"Vaihtoehtoiset"
2016;"alt_14";101,159623842974;"Vaihtoehtoiset"
2017;"alt_14";102,956515261131;"Vaihtoehtoiset"
2018;"alt_14";99,460371094097;"Vaihtoehtoiset"
2019;"alt_14";97,5498292497664;"Vaihtoehtoiset"
2020;"alt_14";94,6222254728585;"Vaihtoehtoiset"
2000;"alt_15";99,1787719807084;"Vaihtoehtoiset"
2001;"alt_15";102,351753560313;"Vaihtoehtoiset"
2002;"alt_15";100,537685610922;"Vaihtoehtoiset"
2003;"alt_15";98,8122710727249;"Vaihtoehtoiset"
2004;"alt_15";100,435522001338;"Vaihtoehtoiset"
2005;"alt_15";100,227986107429;"Vaihtoehtoiset"
2006;"alt_15";97,6143870180757;"Vaihtoehtoiset"
2007;"alt_15";100;"Vaihtoehtoiset"
2008;"alt_15";102,252209484091;"Vaihtoehtoiset"
2009;"alt_15";98,1400657765326;"Vaihtoehtoiset"
2010;"alt_15";99,4013131817154;"Vaihtoehtoiset"
2011;"alt_15";101,97126665452;"Vaihtoehtoiset"
2012;"alt_15";101,648893967089;"Vaihtoehtoiset"
2013;"alt_15";98,9049185681882;"Vaihtoehtoiset"
2014;"alt_15";97,0800995639133;"Vaihtoehtoiset"
2015;"alt_15";96,8127571104393;"Vaihtoehtoiset"
2016;"alt_15";98,8405097395469;"Vaihtoehtoiset"
2017;"alt_15";100,661994242865;"Vaihtoehtoiset"
2018;"alt_15";97,7147786919085;"Vaihtoehtoiset"
2019;"alt_15";95,4039207186525;"Vaihtoehtoiset"
2020;"alt_15";93,583705932558;"Vaihtoehtoiset"
2000;"alt_16";99,5782820467243;"Vaihtoehtoiset"
2001;"alt_16";101,833358687281;"Vaihtoehtoiset"
2002;"alt_16";100,728904905449;"Vaihtoehtoiset"
2003;"alt_16";99,2215710845126;"Vaihtoehtoiset"
2004;"alt_16";99,9854276716842;"Vaihtoehtoiset"
2005;"alt_16";99,85280568081;"Vaihtoehtoiset"
2006;"alt_16";97,6485290943922;"Vaihtoehtoiset"
2007;"alt_16";100;"Vaihtoehtoiset"
2008;"alt_16";102,978586081058;"Vaihtoehtoiset"
2009;"alt_16";99,1879916612602;"Vaihtoehtoiset"
2010;"alt_16";99,9539984773583;"Vaihtoehtoiset"
2011;"alt_16";103,524769106705;"Vaihtoehtoiset"
2012;"alt_16";105,051799124983;"Vaihtoehtoiset"
2013;"alt_16";102,778590325484;"Vaihtoehtoiset"
2014;"alt_16";100,145901208195;"Vaihtoehtoiset"
2015;"alt_16";99,7359824668183;"Vaihtoehtoiset"
2016;"alt_16";101,162897534123;"Vaihtoehtoiset"
2017;"alt_16";102,962844298743;"Vaihtoehtoiset"
2018;"alt_16";99,4693389039727;"Vaihtoehtoiset"
2019;"alt_16";97,5601444359571;"Vaihtoehtoiset"
2020;"alt_16";94,6326812301387;"Vaihtoehtoiset"
2000;"alt_17";99,5784245830026;"Vaihtoehtoiset"
2001;"alt_17";101,833389029768;"Vaihtoehtoiset"
2002;"alt_17";100,728862558291;"Vaihtoehtoiset"
2003;"alt_17";99,2216725155502;"Vaihtoehtoiset"
2004;"alt_17";99,9854022059481;"Vaihtoehtoiset"
2005;"alt_17";99,8528172457753;"Vaihtoehtoiset"
2006;"alt_17";97,648487633082;"Vaihtoehtoiset"
2007;"alt_17";100;"Vaihtoehtoiset"
2008;"alt_17";102,978647957937;"Vaihtoehtoiset"
2009;"alt_17";99,1879579862445;"Vaihtoehtoiset"
2010;"alt_17";99,9538193451247;"Vaihtoehtoiset"
2011;"alt_17";103,524579720657;"Vaihtoehtoiset"
2012;"alt_17";105,051648219532;"Vaihtoehtoiset"
2013;"alt_17";102,778442150606;"Vaihtoehtoiset"
2014;"alt_17";100,145828946813;"Vaihtoehtoiset"
2015;"alt_17";99,7358245805;"Vaihtoehtoiset"
2016;"alt_17";101,162561817659;"Vaihtoehtoiset"
2017;"alt_17";102,962207024733;"Vaihtoehtoiset"
2018;"alt_17";99,4684476974265;"Vaihtoehtoiset"
2019;"alt_17";97,5591056373402;"Vaihtoehtoiset"
2020;"alt_17";94,6315907658712;"Vaihtoehtoiset"
2000;"alt_18";99,7616165423351;"Vaihtoehtoiset"
2001;"alt_18";101,898925773943;"Vaihtoehtoiset"
2002;"alt_18";100,529431273562;"Vaihtoehtoiset"
2003;"alt_18";99,3506615506978;"Vaihtoehtoiset"
2004;"alt_18";99,9738563856728;"Vaihtoehtoiset"
2005;"alt_18";99,8988681463643;"Vaihtoehtoiset"
2006;"alt_18";97,582811081744;"Vaihtoehtoiset"
2007;"alt_18";100;"Vaihtoehtoiset"
2008;"alt_18";102,949529832077;"Vaihtoehtoiset"
2009;"alt_18";98,9260837723487;"Vaihtoehtoiset"
2010;"alt_18";99,288324050501;"Vaihtoehtoiset"
2011;"alt_18";102,980274395171;"Vaihtoehtoiset"
2012;"alt_18";104,575367831211;"Vaihtoehtoiset"
2013;"alt_18";102,376217682194;"Vaihtoehtoiset"
2014;"alt_18";99,9084916755609;"Vaihtoehtoiset"
2015;"alt_18";99,2221006946626;"Vaihtoehtoiset"
2016;"alt_18";100,271897395136;"Vaihtoehtoiset"
2017;"alt_18";101,342996231886;"Vaihtoehtoiset"
2018;"alt_18";97,4045834741661;"Vaihtoehtoiset"
2019;"alt_18";95,1531921701332;"Vaihtoehtoiset"
2020;"alt_18";91,7466075353842;"Vaihtoehtoiset"
2000;"alt_19";99,5786297782236;"Vaihtoehtoiset"
2001;"alt_19";101,83356508956;"Vaihtoehtoiset"
2002;"alt_19";100,729159164454;"Vaihtoehtoiset"
2003;"alt_19";99,2217075741221;"Vaihtoehtoiset"
2004;"alt_19";99,9852654228267;"Vaihtoehtoiset"
2005;"alt_19";99,8529806301251;"Vaihtoehtoiset"
2006;"alt_19";97,648726738433;"Vaihtoehtoiset"
2007;"alt_19";100;"Vaihtoehtoiset"
2008;"alt_19";102,97898620066;"Vaihtoehtoiset"
2009;"alt_19";99,1884253188874;"Vaihtoehtoiset"
2010;"alt_19";99,9544157100233;"Vaihtoehtoiset"
2011;"alt_19";103,525306345012;"Vaihtoehtoiset"
2012;"alt_19";105,052274011245;"Vaihtoehtoiset"
2013;"alt_19";102,779034833126;"Vaihtoehtoiset"
2014;"alt_19";100,146311153871;"Vaihtoehtoiset"
2015;"alt_19";99,7365094394998;"Vaihtoehtoiset"
2016;"alt_19";101,163469382957;"Vaihtoehtoiset"
2017;"alt_19";102,963520857108;"Vaihtoehtoiset"
2018;"alt_19";99,4698528427562;"Vaihtoehtoiset"
2019;"alt_19";97,5605118125529;"Vaihtoehtoiset"
2020;"alt_19";94,6326554070409;"Vaihtoehtoiset"
2000;"alt_20";99,4637543631455;"Vaihtoehtoiset"
2001;"alt_20";101,906304300169;"Vaihtoehtoiset"
2002;"alt_20";100,824158679628;"Vaihtoehtoiset"
2003;"alt_20";99,1630185743373;"Vaihtoehtoiset"
2004;"alt_20";99,9816533256394;"Vaihtoehtoiset"
2005;"alt_20";99,865963653618;"Vaihtoehtoiset"
2006;"alt_20";97,7372440232729;"Vaihtoehtoiset"
2007;"alt_20";100;"Vaihtoehtoiset"
2008;"alt_20";102,969726179741;"Vaihtoehtoiset"
2009;"alt_20";99,2201543969984;"Vaihtoehtoiset"
2010;"alt_20";100,143444713941;"Vaihtoehtoiset"
2011;"alt_20";103,776649495934;"Vaihtoehtoiset"
2012;"alt_20";105,279185955171;"Vaihtoehtoiset"
2013;"alt_20";103,009837102694;"Vaihtoehtoiset"
2014;"alt_20";100,288899752895;"Vaihtoehtoiset"
2015;"alt_20";100,024400953934;"Vaihtoehtoiset"
2016;"alt_20";101,682515654048;"Vaihtoehtoiset"
2017;"alt_20";103,894495178312;"Vaihtoehtoiset"
2018;"alt_20";100,709811017605;"Vaihtoehtoiset"
2019;"alt_20";98,9447216951144;"Vaihtoehtoiset"
2020;"alt_20";95,9783674332502;"Vaihtoehtoiset"
2000;"alt_21";99,5783361507516;"Vaihtoehtoiset"
2001;"alt_21";101,833352719141;"Vaihtoehtoiset"
2002;"alt_21";100,72884997677;"Vaihtoehtoiset"
2003;"alt_21";99,2216205779848;"Vaihtoehtoiset"
