<- Tuottavuus paranee;<- Productivity improves
Suhteelliset reaaliset yksikkötyökustannukset (käännetty asteikko vasemmalla);Relative real unit labour costs (inverted scale on left)
Työn hinta omassa valuutassa (käännetty asteikko vasemmalla);Price of labour in own currency (inverted scale on left) 
Arvonlisäyksen hinta euroissa;Price of value added in euros
Työn tuottavuus;Labour productivity 
Valuuttakurssi;Exchange rate
Indeksi, 2000 = 100;Index, 2000 = 100
Työn tuottavuuden kasvu tehdasteollisuudessa;Increase in labour productivity in manufacturing 
Työn hinnan reaalinen kasvu tehdasteollisuudessa;Real increase in price of labour in manufacturing
Työn tuottavuuden kasvu tehdasteollisuuden yrityksissä;Increase in labour productivity within manufacturing enterprises 
Palkkojen kasvu yrityksissä;Increase in wages and salaries within enterprises
Tehdasteollisuuden työntekijöiden palkkojen kasvu;Increase in employees' wages and salaries within manufacturing
prosenttia;percent
prosenttia;percent
prosenttia;percent
Konvergenssi-komponentti;Convergence component
Hajonnan muutos (asteikko oikealla);Change in dispersion (scale on right)
suhdeluku;ratio
suhdeluku;ratio
suhdeluku;ratio
suhdeluku;ratio
suhdeluku;ratio
suhdeluku;ratio
suhdeluku;ratio
suhdeluku;ratio
Indeksi, 2007 = 100;Index, 2007 = 100
Suomi;Finland
Saksa;Germany
Ranska;France
Alankomaat;Netherlands
Ruotsi;Sweden
Yhdysvallat;United States
Italia;Italy
Norja;Norway
Euroalue-12;Euroarea-12
Tanska;Denmark
Iso-Britannia;United Kingdom
Indeksi, 2007 = 100;Index, 2007 = 100
Suomi;Finland
Saksa;Germany
Ranska;France
Alankomaat;Netherlands
Ruotsi;Sweden
Yhdysvallat;United States
Italia;Italy
Norja;Norway
Euroalue-12;Euroarea-12
Tanska;Denmark
Iso-Britannia;United Kingdom
Digitaalinen teollisuus;Digital manufacturing
Ei-digitaalinen teollisuus;Non-digital manufacturing
Digitaaliset palvelut;Digital services
Ei-digitaaliset palvelut;Non-digital services
Suomi;Finland
Verrokkimaat;Reference  countries
indeksi;Index
Suomi;Finland
Verrokkimaat;Reference  countries
90-10 suhde;90-10 ratio
Suomi;Finland
Verrokkimaat;Reference  countries
taso;level
Suomi;Finland
Verrokkimaat;Reference  countries
Suomi;Finland
Verrokkimaat;Reference  countries
prosenttia;percent
Teollisuus;Manufacturing
Palvelut;Services
Suomi;Finland
Verrokkimaat;Reference  countries
prosenttia;percent
Teollisuus;Manufacturing
Palvelut;Services
Suomi;Finland
Verrokkimaat;Reference  countries
prosenttia;percent
Teollisuus;Manufacturing
Palvelut;Services
Suomi;Finland
Verrokkimaat;Reference  countries
prosenttia;percent
Digitaalinen teollisuus;Digital manufacturing
Ei-digitaalinen teollisuus;Non-digital manufacturing
Digitaaliset palvelut;Digital services
Ei-digitaaliset palvelu;Non-digital services
Suomi;Finland
Verrokkimaat;Reference  countries
Indeksi, 2008 = 100;Index, 2008 = 100
Palvelut;Services
Tavarat;Goods
Suomi;Finland
OECD mediaani;OECD median
Indeksi, 2007 = 100;Index, 2007 = 100
Suomi ;Finland
Yhdysvallat;United States
Tanska;Denmark
Ruotsi;Sweden
Saksa;Germany
Ranska;France
Indeksi, 2007 = 100;Index, 2007 = 100
Suomi ;Finland
Yhdysvallat;United States
Tanska;Denmark
Ruotsi;Sweden
Saksa;Germany
Ranska;France
milj. €;mEUR
%;percent
Yrityksiltä saatu t&k-rahoitus (milj. €, vasen);R&D funding from enterprises (left)
Yritysrahoituksen osuus (%, oikea);Share of  enterprises (right)
